companies,commentsCount,hitsCount,likes
southbridge,18.047619047619047,2593.0476190476193,7.285714285714286
spotify,16.16005040957782,4489.693761814745,40.003150598613736
startup lab,13.2,2581.5,11.1
surf,15.645833333333334,4993.909722222223,24.4375
synergetic,10.857142857142858,1048.2857142857142,17.142857142857142
talkbank,2.8125,1541.1875,8.125
tele2,24.565217391304348,3125.5652173913045,62.17391304347826
textback,12.4,4594.96,109.6
the architect,2.9523809523809526,1788.4761904761904,38.61904761904762
thundermark capital,0.0,272.0,1.0
tiktok,4.619047619047619,1320.2666666666667,14.466666666666667
timeless,35.31578947368421,10294.578947368422,36.10526315789474
timepad,6.338983050847458,3108.864406779661,11.203389830508474
tj,35.324561403508774,9637.083333333334,38.71052631578947
travelline,2.4,645.0,4.4
uma.tech,0.0,305.8,0.2
uniqlo,8.215686274509803,3039.705882352941,63.326797385620914
uplift.club,34.0,8541.0,13.0
userlist,5.0,2672.6666666666665,15.666666666666666
velobeat,36.125,3514.25,22.125
versus.legal,2.0,1083.0,2.0
vk,10.92161757363954,4422.468796804793,29.9535696455317
waves,9.785714285714286,5217.597402597403,22.649350649350648
webinar group,1.7142857142857142,1038.0,2.857142857142857
welltory,15.956521739130435,10672.391304347826,25.130434782608695
whoosh,68.5,7827.871428571429,38.92857142857143
winstrike,4.980769230769231,3024.6923076923076,12.634615384615385
wise,9.86923076923077,2508.076923076923,17.046153846153846
yandex.cloud,8.4375,1764.673611111111,22.17361111111111
yota,22.768199233716476,6443.151340996169,29.61111111111111
zaycev.net,12.916666666666666,7304.541666666667,148.25
zigmund.online,3.8666666666666667,1295.0,46.333333333333336
zimad,2.6666666666666665,1738.2222222222222,33.888888888888886
авиасейлс,2.5,822.1333333333333,11.533333333333333
авито,20.698524695317513,4772.804361770365,83.87812700449005
автоваз,25.069767441860463,6591.813953488372,17.27906976744186
академия ростеха,0.2,299.6,2.1
алиф,1.851063829787234,373.82978723404256,22.97872340425532
альфа-банк,20.786516853932586,5013.643258426966,37.54213483146067
альфа-капитал,27.0,3401.116666666667,144.3
апрель капитал,1.5,806.25,14.75
аскона,14.89090909090909,2820.7454545454543,46.43636363636364
аспро,3.8,841.2,8.3
билайн бизнес,16.580645161290324,2388.9032258064517,14.35483870967742
битрикс24,20.819512195121952,6090.273170731707,22.55121951219512
бланк,13.169117647058824,5617.485294117647,34.86029411764706
вконтакте,21.391837597800805,6914.214421653626,29.738633960668217
ворлдскиллс россия,0.875,1762.0,6.125
восток-сервис,1.0,1267.0,4.0
всегда.да,3.5555555555555554,1048.0,7.888888888888889
втб,24.023936170212767,6096.596409574468,40.86303191489362
газпромбанк,16.750943396226415,3202.0603773584908,12.8
грузовичкоф,14.714285714285714,3526.9523809523807,13.261904761904763
делимобиль,37.385714285714286,7593.733333333334,26.547619047619047
делобанк,6.868421052631579,2170.75,24.13157894736842
деловая среда,0.0,61.0,0.0
домиленд,7.404761904761905,2884.3333333333335,55.357142857142854
донстрой,5.758620689655173,1806.7241379310344,10.172413793103448
евраз,13.15,4212.7,20.85
икра,5.555555555555555,2610.152777777778,18.02777777777778
икс холдинг,13.0,7975.0,20.0
инвитро,13.19047619047619,5894.892857142857,17.94047619047619
