doc_id,companies
0000010723,heineken
0000010726,яндекс
0000010729,pyrus
0000010768,яндекс;тинькофф
0000010774,тинькофф
0000010840,яндекс;badoo
0000010866,microsoft
0000010885,mail;mail.ru
0000010902,яндекс
0000010915,spotify
0000010935,мтс
0000011017,тинькофф
0000011020,яндекс
0000011041,вконтакте
0000011066,мтс
0000011083,одноклассники
0000011086,яндекс
0000011101,тинькофф
0000011161,мтс
0000011166,ozon
0000011174,вконтакте
0000011190,яндекс
0000011238,тинькофф
0000011252,мтс
0000011259,microsoft
0000011279,microsoft
0000011307,одноклассники
0000011314,райффайзенбанк;россельхозбанк
0000011315,мтс
0000011337,яндекс
0000011338,yota
0000011367,одноклассники
0000011388,рвк
0000011407,тнт
0000011427,gett
0000011444,тинькофф
0000011457,gett
0000011461,тнт
0000011468,mail;одноклассники
0000011476,одноклассники
0000011478,coub
0000011492,mail;одноклассники
0000011502,microsoft
0000011512,qiwi
0000011518,markswebb
0000011553,одноклассники
0000011554,одноклассники
0000011576,уралсиб;тинькофф
0000011588,ivi
0000011647,ozon
0000011654,лайфхакер
0000011668,acer;intel;yota;microsoft
0000011688,одноклассники
0000011705,мтс
0000011723,одноклассники
0000011869,райффайзенбанк
0000011888,рвк
0000011890,мтс
0000011896,рбк
0000011918,рбк
0000011923,мтс
0000011938,одноклассники
0000011940,рвк
0000011945,тинькофф
0000011949,тинькофф
0000011954,мтс
0000011960,eset
0000011961,мтс
0000011962,яндекс
0000011963,одноклассники
0000011967,мтс
0000011970,мтс
0000012015,яндекс
0000012027,тинькофф
0000012034,мтс
0000012082,рвк
0000012086,яндекс
0000012092,пик
0000012116,одноклассники
0000012119,spotify
0000012137,мтс
0000012142,тинькофф
0000012154,яндекс
0000012178,автоваз
0000012196,яндекс
0000012223,gett
0000012264,одноклассники
0000012294,spotify
0000012301,skyeng
0000012302,мтс
0000012327,яндекс
0000012353,яндекс
0000012380,рвк
0000012438,одноклассники
0000012448,рвк
0000012451,яндекс
0000012461,райффайзенбанк;мтс
0000012504,мтс
0000012527,gett
0000012528,рвк
0000012571,рбк
0000012587,microsoft
0000012612,pixonic
0000012652,рвк
0000012656,одноклассники
0000012666,gett
0000012677,тинькофф
0000012689,одноклассники
0000012707,тинькофф
0000012725,мтс
0000012733,рвк
0000012751,gett
0000012763,yota
0000012772,мтс
0000012795,mail;mail.ru
0000012806,одноклассники
0000012819,skyeng
0000012868,mail;mail.ru
0000012885,mail;тнт;okko
0000012896,мтс
0000012925,одноклассники
0000012927,мтс
0000012942,gett
0000012964,одноклассники
0000012995,одноклассники
0000013037,одноклассники
0000013038,мтс
0000013056,spotify
0000013061,мтс
0000013102,одноклассники
0000013141,крок
0000013162,gett
0000013175,вконтакте
0000013187,яндекс
0000013190,одноклассники
0000013196,мтс
0000013218,рвк
0000013227,райффайзенбанк;тинькофф
0000013238,intel;microsoft
0000013242,тинькофф
0000013243,мтс
0000013249,gett
0000013277,intel
0000013286,pixonic;intel;mail.ru;mail
0000013289,рвк
0000013310,тинькофф
0000013314,тинькофф
0000013315,gett
0000013342,одноклассники
0000013357,тинькофф
0000013364,мтс
0000013366,gett
0000013368,gett
0000013400,тинькофф
0000013415,яндекс
0000013431,тинькофф
0000013432,яндекс
0000013434,одноклассники
0000013439,eset
0000013442,тинькофф
0000013459,мтс
0000013482,рбк
0000013500,yota
0000013505,вконтакте
0000013518,яндекс
0000013567,мтс
0000013586,яндекс
0000013596,рвк
0000013605,mail;mail.ru
0000013626,мтс
